TWP_PCT,Valerie Ramirez Mukherjee,Brad Schneider
Avon 18,332,499
Avon 19,186,418
Avon 20,237,329
Avon 21,355,467
Avon 22,295,476
Avon 23,314,447
Avon 24,217,408
Avon 25,220,481
Avon 26,215,396
Avon 27,148,298
Avon 28,202,436
Avon 29,188,329
Avon 30,392,626
Avon 31,262,517
Avon 32,254,493
Avon 33,328,453
Avon 34,331,530
Avon 35,299,526
Avon 36,326,607
Avon 37,409,644
Avon 38,348,545
Avon 39,180,394
Avon 40,193,373
Avon 41,433,665
Avon 42,351,476
Avon 43,235,457
Avon 44,326,436
Avon 45,240,391
Avon 46,258,385
Avon 47,351,592
Avon 48,246,373
Avon 49,345,497
Avon 50,286,591
Benton 51,331,270
Benton 52,390,286
Benton 53,362,323
Benton 54,450,394
Benton 55,317,262
Benton 56,325,258
Benton 57,242,407
Benton 58,330,357
Benton 59,229,622
Benton 60,312,397
Benton 61,299,375
Benton 62,220,274
Benton 63,218,318
Fremont 106,333,454
Fremont 107,398,578
Fremont 108,383,507
Fremont 109,422,552
Fremont 110,112,292
Fremont 115,435,575
Fremont 116,299,400
Fremont 117,353,492
Fremont 118,310,359
Fremont 119,293,427
Fremont 120,224,437
Fremont 121,189,339
Fremont 122,258,430
Fremont 123,326,592
Fremont 124,348,475
Fremont 125,353,747
Fremont 126,313,466
Grant 127,330,307
Grant 128,368,341
Grant 129,310,230
Grant 130,328,304
Grant 131,281,317
Grant 132,483,403
Grant 133,489,343
Grant 134,440,373
Grant 135,404,391
Grant 136,305,330
Grant 137,421,455
Grant 138,375,551
Grant 139,502,520
Grant 140,313,419
Grant 141,480,554
Grant 142,454,736
Lake Villa 144,493,417
Lake Villa 154,646,548
Lake Villa 155,461,429
Lake Villa 156,488,643
Lake Villa 157,358,397
Lake Villa 158,392,468
Lake Villa 159,387,486
Lake Villa 160,391,494
Lake Villa 161,318,335
Lake Villa 162,350,361
Lake Villa 163,450,653
Lake Villa 164,383,588
Lake Villa 165,319,575
Lake Villa 166,389,667
Libertyville 167,391,415
Libertyville 168,265,285
Libertyville 169,381,433
Libertyville 170,406,502
Libertyville 171,396,516
Libertyville 172,433,620
Libertyville 173,407,500
Libertyville 174,439,371
Libertyville 175,257,507
Libertyville 176,502,568
Libertyville 177,298,514
Libertyville 178,329,476
Libertyville 179,422,539
Libertyville 180,304,262
Libertyville 181,467,500
Libertyville 182,370,458
Libertyville 183,369,507
Libertyville 184,332,466
Libertyville 185,363,600
Libertyville 186,369,599
Libertyville 187,334,570
Libertyville 188,228,513
Libertyville 189,263,560
Libertyville 190,311,639
Libertyville 191,262,442
Libertyville 192,439,596
Libertyville 193,210,262
Libertyville 194,227,323
Libertyville 195,277,597
Libertyville 196,180,233
Libertyville 197,306,447
Libertyville 198,242,406
Libertyville 199,211,323
Libertyville 200,265,508
Libertyville 201,243,254
Libertyville 202,77,113
Moraine 203,562,424
Moraine 204,357,945
Moraine 205,174,678
Moraine 206,220,716
Moraine 207,241,676
Moraine 208,215,680
Moraine 209,255,823
Moraine 210,233,794
Moraine 211,179,725
Moraine 212,216,805
Moraine 213,176,726
Moraine 214,172,702
Moraine 215,172,750
Moraine 216,140,655
Moraine 217,206,782
Moraine 218,129,657
Moraine 219,155,603
Moraine 220,172,728
Moraine 221,136,603
Moraine 222,160,660
Moraine 223,176,849
Moraine 224,126,586
Newport 226,63,86
Shields 230,63,388
Shields 231,71,762
Shields 232,77,359
Shields 233,24,91
Shields 234,157,345
Shields 235,276,404
Shields 236,219,306
Shields 237,427,619
Shields 238,322,435
Shields 239,596,419
Shields 240,345,474
Shields 241,455,603
Shields 242,344,280
Shields 243,694,647
Shields 244,408,384
Shields 245,412,324
Shields 246,322,339
Vernon 247,281,462
Vernon 248,258,594
Vernon 249,291,619
Vernon 250,289,594
Vernon 251,448,545
Vernon 252,617,503
Vernon 253,335,445
Vernon 254,263,409
Vernon 255,285,498
Vernon 256,232,387
Vernon 257,235,483
Vernon 258,317,673
Vernon 259,535,879
Vernon 260,307,345
Vernon 261,297,559
Vernon 262,264,512
Vernon 263,295,509
Vernon 264,362,555
Vernon 265,283,303
Vernon 266,267,579
Vernon 267,268,688
Vernon 268,456,967
Vernon 269,442,566
Vernon 270,294,426
Vernon 271,334,325
Vernon 272,222,508
Vernon 273,262,750
Vernon 274,194,562
Vernon 275,290,700
Vernon 276,186,529
Vernon 277,266,582
Vernon 278,222,496
Vernon 279,305,577
Vernon 280,185,643
Vernon 281,345,579
Vernon 282,239,456
Vernon 283,260,470
Vernon 284,289,437
Vernon 285,301,510
Vernon 286,394,670
Vernon 287,353,652
Warren 290,187,329
Warren 291,208,330
Warren 299,157,435
Warren 300,186,418
Warren 301,230,461
Warren 302,186,322
Warren 305,338,491
Warren 306,333,577
Warren 307,236,443
Warren 309,348,521
Warren 310,470,508
Warren 311,355,443
Warren 312,381,552
Warren 313,288,572
Warren 314,245,356
Warren 315,464,547
Warren 316,392,501
Warren 317,415,527
Warren 318,454,605
Warren 320,380,579
Warren 321,302,453
Warren 323,192,145
Warren 324,337,627
Warren 325,273,681
Warren 326,172,612
Warren 327,150,515
Waukegan 343,210,285
Waukegan 344,216,623
Waukegan 345,171,466
Waukegan 346,287,449
Waukegan 347,130,343
Waukegan 348,254,573
Waukegan 349,176,601
Waukegan 350,201,565
Waukegan 351,197,517
Waukegan 352,169,430
Waukegan 353,108,457
Waukegan 354,75,327
Waukegan 355,183,470
Waukegan 356,197,733
Waukegan 357,134,560
Waukegan 358,77,462
Waukegan 359,218,578
Waukegan 360,128,527
Waukegan 361,125,497
Waukegan 362,107,387
Waukegan 363,183,588
Waukegan 364,162,599
Waukegan 365,108,413
Waukegan 366,136,495
Waukegan 367,98,400
Waukegan 368,142,331
Waukegan 369,104,418
Waukegan 370,129,605
Waukegan 371,85,414
Waukegan 372,121,439
Waukegan 373,93,513
Waukegan 374,77,554
Waukegan 375,63,470
Waukegan 376,57,338
Waukegan 377,53,428
Waukegan 378,43,324
Waukegan 379,65,389
West Deerfield 380,435,323
West Deerfield 381,345,279
West Deerfield 382,418,265
West Deerfield 383,325,335
West Deerfield 384,440,328
West Deerfield 385,395,306
West Deerfield 386,330,265
West Deerfield 387,260,768
West Deerfield 388,281,338
West Deerfield 389,225,693
West Deerfield 390,232,411
West Deerfield 391,223,783
West Deerfield 392,252,832
West Deerfield 393,197,620
West Deerfield 394,240,660
West Deerfield 395,288,857
West Deerfield 396,243,841
West Deerfield 397,126,538
West Deerfield 398,224,918
West Deerfield 399,214,999
West Deerfield 400,295,844
West Deerfield 401,190,678
West Deerfield 402,156,616
Zion 403,232,597
Zion 404,215,430
Zion 405,161,487
Zion 406,231,520
Zion 407,134,369
Zion 408,106,433
Zion 409,163,648
Zion 410,200,375
Zion 411,146,338
Zion 412,227,444
Zion 413,141,338
Zion 414,274,369
Zion 415,234,479
