TWP_PCT,Jim Oberweis,Lauren Underwood
Antioch 1,608,346
Antioch 2,488,462
Antioch 3,503,416
Antioch 4,452,400
Antioch 5,375,411
Antioch 6,440,381
Antioch 7,427,388
Antioch 8,456,429
Antioch 9,540,508
Antioch 10,411,305
Antioch 11,422,315
Antioch 12,378,297
Antioch 13,462,415
Antioch 14,439,292
Antioch 15,578,344
Antioch 16,570,468
Antioch 17,491,345
Fremont 111,708,774
Fremont 112,767,877
Fremont 113,679,507
Fremont 114,478,386
Lake Villa 143,307,249
Lake Villa 145,350,310
Lake Villa 146,377,352
Lake Villa 147,522,459
Lake Villa 148,370,496
Lake Villa 149,280,219
Lake Villa 150,396,460
Lake Villa 151,290,377
Lake Villa 152,315,440
Lake Villa 153,458,546
Newport 225,368,304
Newport 226,164,141
Newport 227,411,265
Newport 228,359,894
Newport 229,446,379
Warren 288,482,445
Warren 289,359,399
Warren 292,398,557
Warren 293,409,604
Warren 294,260,433
Warren 295,263,498
Warren 296,216,435
Warren 297,341,575
Warren 298,375,639
Warren 303,226,318
Warren 304,255,320
Warren 308,388,497
Warren 319,432,543
Warren 322,366,509
Wauconda 328,217,225
Wauconda 329,871,809
Wauconda 330,487,474
Wauconda 331,250,219
Wauconda 332,369,268
Wauconda 333,301,280
Wauconda 334,318,356
Wauconda 335,273,341
Wauconda 336,383,379
Wauconda 337,365,448
Wauconda 338,432,459
Wauconda 339,467,486
Wauconda 340,362,301
Wauconda 341,326,304
Wauconda 342,429,371
