TWP_PCT,Biden,Trump,Hawkins,La Riva,Carroll,Jorgensen
Antioch 1,330,617,3,1,3,18
Antioch 2,450,484,6,0,0,19
Antioch 3,398,509,2,0,1,17
Antioch 4,399,427,3,2,4,10
Antioch 5,404,370,3,0,2,11
Antioch 6,361,454,4,0,2,11
Antioch 7,386,423,2,0,0,11
Antioch 8,433,444,6,1,0,11
Antioch 9,503,530,3,0,1,18
Antioch 10,304,411,2,0,1,4
Antioch 11,305,423,3,0,3,16
Antioch 12,289,373,1,0,1,9
Antioch 13,437,437,2,0,2,9
Antioch 14,296,425,5,0,0,7
Antioch 15,335,588,4,1,3,6
Antioch 16,473,562,4,3,2,10
Antioch 17,321,509,5,0,1,11
Avon 18,487,343,2,1,1,18
Avon 19,415,175,2,4,2,7
Avon 20,331,230,2,1,0,8
Avon 21,491,331,4,0,1,20
Avon 22,464,301,4,0,5,10
Avon 23,473,276,4,4,2,9
Avon 24,434,213,1,0,2,1
Avon 25,494,210,4,2,1,2
Avon 26,401,216,5,1,0,6
Avon 27,304,137,4,1,2,4
Avon 28,446,187,3,2,0,10
Avon 29,345,165,2,4,0,9
Avon 30,657,372,3,1,1,9
Avon 31,522,247,6,3,1,10
Avon 32,504,235,3,4,1,12
Avon 33,465,309,2,1,0,14
Avon 34,548,298,6,2,0,21
Avon 35,529,261,6,0,5,26
Avon 36,616,298,4,1,2,15
Avon 37,667,390,4,0,2,13
Avon 38,564,333,5,0,1,5
Avon 39,416,164,4,0,0,4
Avon 40,380,191,0,1,3,6
Avon 41,670,413,1,2,3,30
Avon 42,500,304,2,2,2,16
Avon 43,443,239,8,1,1,6
Avon 44,442,316,2,2,2,18
Avon 45,395,229,2,1,1,5
Avon 46,393,236,3,0,0,23
Avon 47,633,311,2,0,1,16
Avon 48,390,227,3,1,0,15
Avon 49,511,313,5,1,2,14
Avon 50,619,247,3,1,2,8
Benton 51,253,353,4,1,0,6
Benton 52,254,418,3,2,2,8
Benton 53,296,376,6,0,1,7
Benton 54,362,475,4,0,1,10
Benton 55,230,349,1,0,0,8
Benton 56,229,351,2,1,0,7
Benton 57,402,245,5,1,2,8
Benton 58,339,342,7,1,3,7
Benton 59,622,222,5,4,3,13
Benton 60,377,326,2,0,3,5
Benton 61,336,343,2,1,0,5
Benton 62,261,226,4,0,0,4
Benton 63,327,201,2,3,0,4
Cuba 64,259,374,0,0,1,12
Cuba 65,381,436,7,1,0,19
Cuba 66,451,344,4,0,1,10
Cuba 67,319,309,2,0,0,9
Cuba 68,408,349,0,1,0,6
Cuba 69,481,443,2,0,2,7
Cuba 70,250,348,2,0,0,4
Cuba 71,371,370,2,0,0,12
Cuba 72,347,324,0,1,2,16
Cuba 73,490,384,8,0,2,5
Cuba 74,401,470,7,1,0,11
Cuba 75,301,321,3,1,0,14
Cuba 76,543,379,7,0,0,6
Cuba 77,511,507,2,1,0,21
Ela 78,353,373,5,0,4,13
Ela 79,681,527,3,0,3,9
Ela 80,429,397,6,1,1,8
Ela 81,543,431,4,0,1,12
Ela 82,486,428,4,2,1,18
Ela 83,499,465,0,1,1,12
Ela 84,478,355,0,1,2,16
Ela 85,385,328,2,0,1,7
Ela 86,447,392,5,0,3,12
Ela 87,580,455,6,0,3,16
Ela 88,282,435,6,0,1,6
Ela 89,403,414,3,0,1,12
Ela 90,474,320,1,1,0,17
Ela 91,382,350,0,0,1,11
Ela 92,468,399,3,1,1,10
Ela 93,445,314,3,0,2,8
Ela 94,509,324,5,1,0,10
Ela 95,490,418,4,1,4,12
Ela 96,448,412,2,2,1,14
Ela 97,462,292,2,1,5,13
Ela 98,453,286,0,0,0,14
Ela 99,577,586,1,0,3,14
Ela 100,600,488,6,0,4,14
Ela 101,553,510,1,0,3,12
Ela 102,519,553,3,1,1,21
Ela 103,451,440,3,0,1,21
Ela 104,524,414,3,0,0,5
Ela 105,595,576,6,0,3,21
Fremont 106,475,307,1,0,1,10
Fremont 107,588,386,2,0,1,8
Fremont 108,500,394,1,0,0,3
Fremont 109,559,430,3,0,1,2
Fremont 110,294,93,8,0,2,10
Fremont 111,792,654,4,0,5,34
Fremont 112,940,686,4,0,5,13
Fremont 113,565,592,10,0,5,17
Fremont 114,406,446,3,0,0,9
Fremont 115,614,406,3,0,1,13
Fremont 116,408,270,4,2,1,19
Fremont 117,501,331,3,0,2,14
Fremont 118,393,277,2,0,0,7
Fremont 119,440,267,5,0,7,11
Fremont 120,432,218,8,0,1,6
Fremont 121,335,178,3,2,0,10
Fremont 122,443,231,3,0,2,11
Fremont 123,577,326,7,4,3,13
Fremont 124,497,317,2,1,2,18
Fremont 125,737,354,9,1,0,15
Fremont 126,483,310,2,2,0,7
Grant 127,291,341,3,0,1,10
Grant 128,335,384,0,1,1,8
Grant 129,209,330,1,0,1,12
Grant 130,301,336,1,2,0,6
Grant 131,302,300,3,1,0,8
Grant 132,387,491,8,0,1,13
Grant 133,323,519,5,0,0,3
Grant 134,372,436,4,2,1,6
Grant 135,383,400,7,1,0,13
Grant 136,328,307,5,0,0,9
Grant 137,462,418,0,0,0,9
Grant 138,570,350,5,2,2,21
Grant 139,543,477,4,2,1,13
Grant 140,418,314,1,3,2,6
Grant 141,550,475,5,1,2,21
Grant 142,741,441,7,2,1,19
Lake Villa 143,230,317,1,1,0,9
Lake Villa 144,394,519,3,0,2,9
Lake Villa 145,318,342,4,0,1,4
Lake Villa 146,354,359,3,1,1,13
Lake Villa 147,485,481,7,0,1,16
